20-03-27_11-34,R,1,20_10,utility,0.01,50,500,1,0,858.9298,5.1016042454,4.5304275271,,,,,,
20-03-27_11-34,R,1,20_10,structural,0.01,50,500,1,0,659.146,3.379897906,3.2439724596,,,,,,
20-03-27_11-36,R,1,20_10,utility,0.01,50,500,1,0,860.6982,5.0796120708,4.5191083042,,,,,,
20-03-27_11-36,R,1,20_10,structural,0.01,50,500,1,0,659.3013,3.5319681474,3.3919852211,,,,,,
20-03-27_11-38,R,1,20_10,utility,0.01,50,500,1,0,859.0935,5.0735278268,4.5123021829,,,,,,
20-03-27_11-38,R,1,20_10,structural,0.01,50,500,1,0,658.7607,3.5215665055,3.3785464075,,,,,,
20-03-27_11-40,R,1,20_10,utility,0.01,50,500,1,0,859.0852,5.1001650735,4.5337129087,,,,,,
20-03-27_11-40,R,1,20_10,structural,0.01,50,500,1,0,659.9432,3.5499235056,3.4080923969,,,,,,
20-03-27_11-42,RN,2,20_10,utility,0.01,50,500,1,0,860.2292,5.1003327901,4.5251792774,,,,,,
20-03-27_11-42,RN,2,20_10,structural,0.01,50,500,1,0,658.44,3.4806251498,3.3384885029,,,,,,
20-03-27_11-44,RN,2,20_10,utility,0.01,50,500,1,0,859.5159,5.0435351528,4.4833979829,,,,,,
20-03-27_11-44,RN,2,20_10,structural,0.01,50,500,1,0,659.6478,3.6058751441,3.4592001379,,,,,,
20-03-27_11-46,RN,2,20_10,utility,0.01,50,500,1,0,859.3627,5.1047711183,4.5380455692,,,,,,
20-03-27_11-46,RN,2,20_10,structural,0.01,50,500,1,0,659.2434,3.7327463805,3.5805784636,,,,,,
20-03-27_11-48,RN,2,20_10,utility,0.01,50,500,1,0,859.1177,5.1209885254,4.5495262843,,,,,,
20-03-27_11-48,RN,2,20_10,structural,0.01,50,500,1,0,660.0393,3.7687267504,3.6142366927,,,,,,
20-03-27_11-50,RN,2,20_10,utility,0.01,50,500,1,0,865.5271,4.7660590984,4.2572294899,,,,,,
20-03-27_11-50,RN,2,20_10,structural,0.01,50,500,1,0,658.7608,3.6133690812,3.4658762764,,,,,,
20-03-27_13-37,R,1,20_10,utility,0.01,10,500,1,0,1482.2205,2.7325475033,2.4533124264,,,,,,
20-03-27_13-38,R,1,20_10,utility,0.001,20,1000,1,0,1626.3503,0.9449134948,0.8990670944,,,,,,
20-03-27_13-39,R,1,20_10,utility,0.001,30,2000,1,0,1543.4738,1.7558016889,1.5866069474,,,,,,
20-03-27_13-40,R,1,20_10,utility,0.01,30,2000,1,0,1381.7135,6.7085544754,5.9921362086,,,,,,
20-03-27_13-52,R,1,20_10,utility,0.01,30,5000,1,0,1400.5969,6.6177330228,5.8999150896,,,,,,
20-03-27_14-02,R,1,20_10,utility,0.001,20,500,1,0,1109.8246,0.924805604,0.9069834241,,,,,,
20-03-27_14-03,R,1,20_10,utility,0.001,20,2000,1,0,1012.7257,1.5001999792,1.3473695604,,,,,,
20-03-27_14-06,RN,2,20_10,utility,0.01,30,2000,1,0,860.3028,5.0469668976,4.4863478773,,,,,,
20-03-27_14-08,RN,2,20_10,utility,0.01,30,1500,1,0,858.8724,5.0730330719,4.5068994056,,,,,,
20-03-27_18-29,RN,2,20_10,utility,0.01,30,500,1,0,859.8555,5.09688766,4.5274140357,,,,,,
20-03-28_10-32,RN,2,20_10,utility,0.01,100,500,1,0,861.0785,5.0613833878,4.4949890451,,,,,,
20-03-28_14-04,RN,2,20_10,utility,0.01,10,5000,1,0,862.1819,5.1793920919,4.5930508214,,,,,,
20-03-28_14-08,RN,2,20_10,utility,0.01,10,3000,1,0,858.9823,5.1188125314,4.551443292,good,,,,,
20-03-28_14-10,RN,2,20_10,utility,0.01,5,3000,1,0,858.8838,5.1257542619,4.5562708117,,,,,,
20-03-28_14-11,RN,2,20_10,structural,0.01,5,3000,1,0,659.0784,3.5197518652,3.3760078086,,,,,,
20-03-28_14-13,RN,2,20_10,structural,0.01,5,1000,1,0,658.4379,3.5532582316,3.4090898026,,,,,,
20-03-28_14-15,RN,2,20_10,structural,0.01,10,1000,1,0,662.9403,3.3930393711,3.2516947838,,,,,,
20-03-28_14-42,RN,2,20_10,utility,0.001,15,3000,1,0,985.9807,1.8328832265,1.6361152782,,,,,,
20-03-28_14-44,RN,2,20_10,utility,0.001,15,5000,1,0,894.8817,3.4990894542,3.106458189,,,,,,
20-03-28_14-55,RN,2,20_10,utility,0.001,15,8000,1,0,860.9409,5.0373794131,4.4737324074,,,,,,
20-03-28_15-00,RN,2,20_10,utility,0.001,15,6000,1,0,859.9121,5.1011149207,4.5328097133,,,,,,
20-03-28_15-10,RN,2,20_10,utility,0.0001,15,8000,1,0,1101.1884,0.9084142717,0.8805787419,,,,,,
20-03-28_15-31,RN,2,20_10,utility,0.0001,15,15000,1,0,1073.8349,0.9663720402,0.9034151873,,,,,,
20-03-28_15-43,RN,2,20_10,structural,0.1,10,1000,1,0,658.6503,3.544777397,3.4009298876,,,,,,
20-03-28_15-42,RN,2,20_10,utility,0.0001,15,30000,1,0,1000.9043,1.6382145482,1.4664432578,,,,,,
20-03-28_16-15,RN,2,20_10,utility,0.1,15,5000,1,0,859.1221,5.0898462433,4.5226560066,,,,,,
20-03-28_16-17,RN,2,20_10,utility,0.1,15,500,1,0,859.0425,5.1126762253,4.5439812064,,,,,,
20-03-30_11-52,RN,2,20_10,structural,0.01,20,100000,1,0,775.5613,1.903508334,1.8496850772,,,,,,
20-03-30_11-53,RN,2,20_10,utility,0.01,20,100000,1,0,867.1664,5.0832524491,4.4985833042,,,,,,
20-03-30_12-38,RN,2,20_10,structural,0.01,20,18000,1,0,672.8882,3.4175014568,3.2742259182,,,,,,
20-03-30_13-01,RN,2,20_10,structural,0.001,20,100000,1,0,800.8867,3.6435622554,3.5057530582,,,,,,
20-03-30_13-00,RN,2,20_10,utility,0.001,20,100000,1,0,956.4215,5.893250826,4.9925541984,,,,,,
20-03-30_13-54,RN,2,20_10,utility,0.001,20,20000,1,0,897.7209,4.0637770304,3.5938561557,,,,,,
20-03-30_13-52,RN,2,20_10,structural,0.001,20,60000,1,0,771.6328,4.1583577407,3.9566198158,,,,,,
20-03-30_14-23,RN,2,10_10,utility,0.001,20,20000,1,0,866.8196,5.5996992752,4.960360489,,,,,,
20-03-30_14-24,RN,2,20_10,structural,0.001,10,60000,1,0,728.7751,3.2463630722,3.106556196,,,,,,
20-03-30_14-47,RN,2,10_5,structural,0.01,20,100000,1,0,691.7726,3.7456272321,3.582704996,good,,,,,
20-03-30_14-47,RN,2,10_5,utility,0.01,20,100000,1,0,906.7987,4.4173750171,3.9691297139,,,,,,
20-03-30_15-34,RN,2,10_5,utility,0.01,20,50000,1,0,874.2026,5.2561409185,4.6907237265,,,,,,
20-03-30_16-43,RN,2,10_5,utility,0.01,20,80000,1,0,905.7929,4.3044197949,3.8671682996,,,,,,
20-03-30_17-36,RN,2,10_5,utility,0.01,20,20000,1,0,866.768,5.5722507287,4.9467250779,good,,,,,
20-03-30_17-51,R,1,10_5,utility,0.01,20,50000,1,0,869.3227,5.3268394232,4.7701735529,,,,,,
20-03-30_17-51,R,1,10_5,structural,0.01,20,100000,1,0,712.3243,3.3198691307,3.2001308369,,,,,,
20-03-30_19-11,R,1,10_5,structural,0.01,20,60000,1,0,708.7354,3.3803193001,3.2554741793,,,,,,
20-03-30_19-43,R,1,10_5,structural,0.01,20,200000,1,0,724.6524,2.4556235863,2.3739256738,,,,,,
20-03-30_23-14,RN,2,10_5,structural,0.01,20,500000,1,0,768.7866,2.0046377133,1.9460787271,,,,,,
20-03-30_23-15,R,1,10_5,utility,0.01,20,500000,1,0,970.8032,5.2718033657,4.7667469003,,,,,,
20-03-30_23-17,R,1,10_5,fire,0.01,20,500000,1,0,688.9033,2.7675425044,2.6082123211,,,,,,
20-04-01_12-57,RN,2,10_5,structural,0.01,10,80000,2,0,954.1821,4.9457992081,4.7678979444,,,,,,
20-04-01_11-57,RN,2,10_5,utility,0.01,20,300000,1,0,862.1529,5.1800481364,4.6238331112,,,,,,
20-04-01_13-53,RN,2,10_5,utility,0.01,10,20000,2,0,905.0208,5.1171967235,4.6154919191,,,,,,
20-04-01_14-01,RN,2,10_5,utility,0.01,10,10000,2,0,913.7374,5.6369165768,5.0155928092,,,,,,
20-04-01_13-55,RN,2,10_5,structural,0.01,10,50000,2,0,758.1014,4.0989644395,3.9365279039,,,,,,
20-04-01_14-06,RN,2,10_5,utility,0.01,10,40000,2,0,870.9676,5.4860317857,4.904848422,,,,,,
20-04-01_13-59,RN,2,10_5,fire,0.01,10,50000,2,0,712.0027,3.1424648346,2.9683239383,good,,,,,
20-04-01_14-17,RN,2,10_5,structural,0.01,10,80000,2,0,724.7866,3.8824150441,3.7279904237,,,,,,
20-04-01_14-33,RN,2,10_5,utility,0.01,10,8000,2,0,931.8859,4.944908776,4.3610069626,,,,,,
20-04-01_14-34,RN,2,10_5,structural,0.01,15,50000,2,0,948.7705,4.7407795005,4.5589039749,,,,,,
20-04-01_14-29,RN,2,10_5,fire,0.01,15,50000,2,0,698.0948,3.2237073434,3.0171478729,,,,,,
20-04-01_14-53,RN,2,10_5,structural,0.01,15,15000,2,0,807.9945,3.7160321141,3.5802624483,,,,,,
20-04-01_14-55,RN,2,10_5,fire,0.01,15,20000,2,0,766.0024,3.1392487854,2.9157046568,,,,,,
20-04-01_15-02,RN,2,10_5,structural,0.01,15,10000,2,0,843.5378,5.1581833694,4.9627366352,,,,,,
20-04-01_15-04,RN,2,10_5,utility,0.001,10,20000,2,0,895.1151,5.0768384551,4.4887638404,,,,,,
20-04-01_15-09,RN,2,10_5,structural,0.001,15,10000,2,0,807.183,1,0.9919108204,,,,,,
20-04-01_15-09,RN,2,10_5,fire,0.001,15,10000,2,0,688.5642,2.4791992752,2.3189994163,,,,,,
20-04-01_15-13,RN,2,10_5,utility,0.001,10,5000,2,0,917.8666,2.8128166782,2.5122351821,,,,,,
20-04-02_10-41,RN,2,10_5,structural,0.001,15,10000,2,0,652.1044,3.0713743274,2.9480807659,True,,,,,
20-04-02_10-42,RN,2,10_5,utility,0.01,10,40000,2,0,857.6736,5.3391257939,4.7681600221,True,,,,,
20-04-02_10-46,RN,2,10_5,structural,0.001,15,100000,2,0,1054.1535,5.3105347652,5.1180472685,True,,,,,
20-04-02_12-24,RN,2,10_5,structural,0.01,20,100000,2,0,839.3936,3.3139395888,3.1997999517,True,,,,,
20-04-02_13-57,RN,2,10_5,utility,0.01,10,40000,2,0,901.6005,5.0679451289,4.5853563128,True,,,,,
20-04-02_14-01,RN,2,10_5,structural,0.01,15,50000,2,0,775.4972,2.6804812014,2.5755232624,True,,,,,
20-04-04_13-04,RN,2,10_5,fire,0.01,15,50000,2,0,760.9668,3.0747893992,2.9155548466,,,,,,
20-04-04_18-49,RN,2,10_5,law,0.01,15,20000,2,0,403.4168,1.6338842405,1.5679438701,,,,,,
20-04-05_20-22,RN,2,10_5,law,0.01,15,15000,2,0,418.5509,1.6337828211,1.5767817386,,,,,,
20-04-05_20-53,RN,2,10_5,law,0.01,10,15000,2,0,410.0792,1.7029325276,1.6226894894,,,,,,
20-04-07_16-47,RN,2,10_5,utility,0.01,10,20000,2,0,1023.3538,1.2815444643,1.1659148175,,Adagrad,,,,Do not consider
20-04-07_16-52,RN,2,10_5,utility,0.01,20,50000,2,0,853.3329,4.8354437129,4.3196808223,,Adagrad,,,,Do not consider
20-04-07_17-08,RN,2,10_5,law,0.01,20,15000,2,0,380.227,1.1115848132,1.0653765187,,Adagrad,,,,Do not consider
20-04-07_17-14,RN,2,10_5,structural,0.01,20,50000,2,0,646.501,3.5085536211,3.3707175937,,Adagrad,,,,Do not consider
20-04-07_17-32,RN,2,10_5,law,0.01,15,15000,2,0,405.9726,1.7059920185,1.6387550984,,RMSProp,,,,Do not consider
20-04-07_17-36,RN,2,10_5,law,0.01,10,10000,2,0,444.5252,2.1550225271,2.0806415235,,RMSProp,,,,Do not consider
20-04-07_17-12,RN,2,10_5,fire,0.01,20,50000,2,0,666.0155,2.9612082372,2.7676998123,,Adagrad,,,,Do not consider
20-04-07_17-40,RN,2,10_5,law,0.01,15,30000,2,0,419.8732,1.8218829056,1.7519130794,,RMSProp,,,,Do not consider
20-04-07_17-42,RN,2,10_5,fire,0.01,50,40000,2,0,760.561,2.2957396071,2.1860274353,,RMSProp,,,,Do not consider
20-04-07_17-44,RN,2,10_5,fire,0.01,50,40000,2,0,676.0541,2.8611315467,2.6653947346,,Adagrad,,,,Do not consider
20-04-07_19-12,RN,2,10_5,fire,0.01,100,40000,2,0,670.1863,2.8283431698,2.6423985375,,Adagrad,,,,Do not consider
20-04-07_21-02,RN,2,10_5,fire,0.001,50,20000,1,0,773.5021,0.8500326026,0.8343926738,,Adagrad,,,,Do not consider
20-04-07_21-42,RN,2,10_5,law,0.01,15,30000,2,0,418.6218,2.2180774874,2.1292854959,,exp_decay,2000,0.5,,Do not consider
20-04-07_21-51,RN,2,10_5,law,0.01,15,5000,2,0,424.1131,2.2838023861,2.1733459894,,exp_decay,1000,0.96,,Do not consider
20-04-07_21-52,RN,2,10_5,law,0.01,15,2000,2,0,386.8061,1.3298414618,1.2766355176,,exp_decay,1000,0.96,,Do not consider
20-04-07_21-55,RN,2,10_5,law,0.01,10,5000,2,0,396.7008,1.6769721009,1.6041182961,,exp_decay,500,0.96,,Do not consider
20-04-07_21-59,RN,2,10_5,law,0.01,10,5000,2,0,389.7847,1.4846711162,1.4249514876,,exp_decay,100,0.98,,Do not consider
20-04-07_22-02,RN,2,10_5,utility,0.01,10,20000,2,0,905.9939,5.5448831181,5.0162440642,,,,,,Do not consider
20-04-07_22-12,RN,2,10_5,utility,0.01,10,20000,2,0,919.3525,5.0464434934,4.5576216923,1000.00.96,,,,,Do not consider
20-04-07_22-18,RN,2,10_5,utility,0.01,10,20000,2,0,860.0852,5.1354981487,4.5679396045,50_0.96,,,,,Do not consider
