Incident Type,Creation Date,Response Time
Utility-Power Outage,2014-01-02,1361
Fire-3rd Alarm,2014-01-03,2596
Utility-Power Outage,2014-01-03,278
Fire-1st Alarm,2014-01-03,2879
Fire-5th Alarm,2014-01-04,4576
Fire-1st Alarm,2014-01-04,99
Fire-3rd Alarm,2014-01-05,1582
Fire-Manhole,2014-01-06,3412
Fire-1st Alarm,2014-01-06,111
Utility-Power Outage,2014-01-06,431
Utility-Manhole,2014-01-07,169
Utility-Water Service Line,2014-01-07,120
Utility-Power Outage,2014-01-08,537
Utility-Power Outage,2014-01-09,149
Fire-3rd Alarm,2014-01-09,2654
Utility-Water Service Line,2014-01-10,189
Utility-Water Service Line,2014-01-14,144
Fire-1st Alarm,2014-01-14,61
Fire-3rd Alarm,2014-01-17,1810
Utility-Manhole,2014-01-22,469
Utility-Manhole,2014-01-22,1343
Utility-Manhole,2014-01-23,1787
Utility-Water Service Line,2014-01-23,96
Utility-Water Service Line,2014-01-25,422
Utility-Water Service Line,2014-01-27,1603
Fire-Sensitive Location,2014-01-29,323
Fire-Sensitive Location,2014-01-30,140
Fire-1st Alarm,2014-02-01,121
Fire-Manhole,2014-02-01,353
Fire-1st Alarm,2014-02-06,120
Fire-1st Alarm,2014-02-10,69
Utility-Water Service Line,2014-02-13,1590
Fire-4th Alarm,2014-02-13,1794
Fire-Manhole,2014-02-14,92
Utility-Gas Service Line,2014-02-16,80
Fire-3rd Alarm,2014-02-17,1339
Fire-Manhole,2014-02-19,377
Utility-Water Service Line,2014-02-23,501
Fire-3rd Alarm,2014-02-23,328
Fire-Manhole,2014-02-24,150
Fire-1st Alarm,2014-02-24,79
Utility-Power Outage,2014-02-25,192
Utility-Gas High Pressure,2014-02-27,80
Fire-3rd Alarm,2014-02-27,239
Fire-3rd Alarm,2014-03-01,735
Fire-Manhole,2014-03-06,365
Utility-Gas High Pressure,2014-03-06,545
Fire-3rd Alarm,2014-03-06,1780
Fire-4th Alarm,2014-03-18,9495
Fire-3rd Alarm,2014-03-19,455
Utility-Power Outage,2014-03-20,88
Utility-Manhole,2014-03-20,578
Fire-4th Alarm,2014-03-20,303
Fire-Sensitive Location,2014-03-21,3231
Fire-3rd Alarm,2014-03-23,1566
Fire-3rd Alarm,2014-03-23,378
Fire-3rd Alarm,2014-03-28,201
Fire-1st Alarm,2014-03-28,263
Utility-Power Outage,2014-04-06,103
Fire-4th Alarm,2014-04-06,317
Fire-3rd Alarm,2014-04-11,1790
Fire-1st Alarm,2014-04-11,64
Fire-1st Alarm,2014-04-12,71
Fire-1st Alarm,2014-04-12,83
Fire-Sensitive Location,2014-04-13,234
Fire-3rd Alarm,2014-04-13,250
Fire-Collapse,2014-04-14,246
Utility-Gas Main Rupture,2014-04-16,797
Fire-1st Alarm,2014-04-17,115
Fire-School,2014-04-21,77
Fire-5th Alarm,2014-04-21,4175
Utility-Water Service Line,2014-04-23,77
Utility-Gas Service Line,2014-04-28,97
Fire-3rd Alarm,2014-04-29,164
Fire-School,2014-04-30,80
Fire-Haz Mat,2014-04-30,338
Fire-Manhole,2014-05-01,346
Utility-Power Outage,2014-05-01,560
Fire-1st Alarm,2014-05-01,95
Fire-Explosion,2014-05-01,218
Utility-Gas Service Line,2014-05-07,212
Fire-Haz Mat,2014-05-08,8272
Utility-Gas Main Rupture,2014-05-12,189
Utility-Manhole,2014-05-12,1104
Utility-Gas High Pressure,2014-05-13,89
Fire-1st Alarm,2014-05-14,72
Utility-Gas Service Line,2014-05-15,2033
Fire-10-77 (Residential High Rise Fire),2014-05-20,121
Fire-Sensitive Location,2014-05-23,345
Fire-1st Alarm,2014-05-27,104
Fire-Manhole,2014-05-27,629
Fire-Manhole,2014-05-28,651
Fire-School,2014-05-31,211
Utility-Gas High Pressure,2014-06-03,67
Fire-1st Alarm,2014-06-04,131
Fire-5th Alarm,2014-06-05,3486
Fire-3rd Alarm,2014-06-06,425
Fire-3rd Alarm,2014-06-06,166
Fire-1st Alarm,2014-06-08,75
Fire-1st Alarm,2014-06-09,265
Fire-3rd Alarm,2014-06-13,6871
Fire-3rd Alarm,2014-06-16,200
Utility-Gas Main Rupture,2014-06-16,3633
Fire-10-76 (Commercial High Rise Fire),2014-06-16,90
Utility-Power Outage,2014-06-19,134
Fire-Haz Mat,2014-06-23,195
Utility-Other,2014-06-24,74
Fire-Haz Mat,2014-06-25,262
Fire-Collapse,2014-07-05,146
Fire-Haz Mat,2014-07-06,112
Fire-10-77 (Residential High Rise Fire),2014-07-07,181
Fire-1st Alarm,2014-07-07,61
Fire-1st Alarm,2014-07-09,547
Fire-Explosion,2014-07-11,62
Fire-Other,2014-07-15,761
Fire-Haz Mat,2014-07-18,85
Utility-Power Outage,2014-07-23,126
Fire-5th Alarm,2014-07-25,1968
Fire-10-77 (Residential High Rise Fire),2014-07-25,61
Fire-3rd Alarm,2014-07-26,5757
Utility-Gas High Pressure,2014-07-29,386
Fire-10-77 (Residential High Rise Fire),2014-07-29,90
Utility-Power Outage,2014-07-29,242
Utility-Other,2014-07-29,113
Fire-Other,2014-07-30,137
Fire-10-77 (Residential High Rise Fire),2014-07-31,3942
Fire-10-77 (Residential High Rise Fire),2014-08-04,104
Fire-10-77 (Residential High Rise Fire),2014-08-05,583
Fire-1st Alarm,2014-08-05,593
Fire-1st Alarm,2014-08-07,60
Fire-Haz Mat,2014-08-07,276
Fire-Haz Mat,2014-08-12,157
Utility-Gas Main Rupture,2014-08-13,145
Fire-Other,2014-08-20,120
Fire-10-76 (Commercial High Rise Fire),2014-08-21,94
Fire-1st Alarm,2014-08-27,379
Fire-1st Alarm,2014-08-28,137
Fire-Haz Mat,2014-08-31,83
Fire-1st Alarm,2014-09-09,220
Fire-3rd Alarm,2014-09-10,719
Fire-Haz Mat,2014-09-15,635
Fire-Haz Mat,2014-09-16,79
Fire-3rd Alarm,2014-09-17,623
Utility-Gas Service Line,2014-09-24,112
Fire-3rd Alarm,2014-09-26,5500
Fire-Manhole,2014-09-30,3100
Fire-Haz Mat,2014-10-08,186
Fire-Other,2014-10-08,329
Utility-Other,2014-10-08,541
Utility-Gas Main Rupture,2014-10-09,317
Fire-10-76 (Commercial High Rise Fire),2014-10-10,82
Utility-Power Outage,2014-10-10,310
Fire-1st Alarm,2014-10-13,157
Utility-Other,2014-10-18,650
Fire-1st Alarm,2014-10-21,204
Fire-Collapse,2014-10-23,157
Utility-Gas Service Line,2014-10-28,192
Utility-Power Outage,2014-10-29,207
Utility-Power Outage,2014-10-31,144
Fire-10-76 (Commercial High Rise Fire),2014-11-02,67
Fire-Other,2014-11-02,234
Utility-Power Outage,2014-11-02,143
Utility-Water Service Line,2014-11-05,1831
Fire-Sensitive Location,2014-11-05,373
Fire-1st Alarm,2014-11-05,167
Fire-1st Alarm,2014-11-07,97
Fire-1st Alarm,2014-11-09,4538
Utility-Gas High Pressure,2014-11-10,81
Utility-Gas Service Line,2014-11-10,73
Fire-Explosion,2014-11-13,1799
Fire-Manhole,2014-11-17,246
Utility-Water Service Line,2014-11-18,461
Fire-Manhole,2014-11-19,1228
Utility-Water Service Line,2014-11-21,129
Utility-Other,2014-11-22,1180
Fire-3rd Alarm,2014-11-22,3854
Fire-4th Alarm,2014-11-22,5480
Fire-3rd Alarm,2014-11-25,1613
Fire-1st Alarm,2014-11-25,354
Fire-Explosion,2014-11-27,181
Fire-Sensitive Location,2014-11-28,115
Fire-10-76 (Commercial High Rise Fire),2014-11-29,102
Fire-3rd Alarm,2014-12-02,9706
Utility-Other,2014-12-08,209
Utility-Power Outage,2014-12-10,276
Fire-School,2014-12-11,80
Fire-10-77 (Residential High Rise Fire),2014-12-12,1444
Fire-Sensitive Location,2014-12-12,142
Fire-3rd Alarm,2014-12-15,1983
Utility-Gas Service Line,2014-12-15,99
Utility-Gas Service Line,2014-12-15,2136
Fire-1st Alarm,2014-12-16,68
Fire-1st Alarm,2014-12-17,70
Fire-3rd Alarm,2014-12-24,240
Fire-1st Alarm,2014-12-30,98
Utility-Manhole,2014-12-30,934
Utility-Water Service Line,2014-12-30,2263
Utility-Power Outage,2015-01-05,135
Utility-Water Service Line,2015-01-07,635
Utility-Water Service Line,2015-01-07,64
Fire-Sensitive Location,2015-01-07,115
Fire-1st Alarm,2015-01-08,122
Utility-Other,2015-01-08,1007
Utility-Other,2015-01-09,2463
Fire-10-77 (Residential High Rise Fire),2015-01-10,74
Fire-1st Alarm,2015-01-12,61
Fire-3rd Alarm,2015-01-13,849
Fire-1st Alarm,2015-01-13,596
Utility-Water Service Line,2015-01-15,1564
Utility-Water Service Line,2015-01-15,799
Fire-Explosion,2015-01-15,166
Utility-Other,2015-01-16,645
Fire-3rd Alarm,2015-01-17,7085
Utility-Other,2015-01-19,276
Fire-10-77 (Residential High Rise Fire),2015-01-20,284
Utility-Power Outage,2015-01-20,100
Fire-1st Alarm,2015-01-20,81
Fire-5th Alarm,2015-01-21,7681
Utility-Water Service Line,2015-01-23,1017
Utility-Power Outage,2015-01-24,182
Utility-Other,2015-01-24,120
Utility-Power Outage,2015-01-24,154
Utility-Manhole,2015-01-24,183
Utility-Power Outage,2015-01-28,1909
Fire-Manhole,2015-01-29,1013
Utility-Water Service Line,2015-01-30,523
Utility-Water Service Line,2015-02-02,437
Fire-Haz Mat,2015-02-02,830
Utility-Other,2015-02-03,1756
Utility-Gas High Pressure,2015-02-05,430
Fire-Haz Mat,2015-02-05,180
Utility-Gas Main Rupture,2015-02-06,82
Utility-Other,2015-02-06,252
Utility-Other,2015-02-08,1155
Utility-Manhole,2015-02-09,593
Fire-School,2015-02-10,119
Utility-Water Service Line,2015-02-12,1771
Utility-Other,2015-02-13,343
Fire-1st Alarm,2015-02-14,78
Utility-Other,2015-02-16,1981
Utility-Other,2015-02-16,103
Utility-Other,2015-02-16,2646
Utility-Other,2015-02-16,214
Utility-Other,2015-02-17,210
Utility-Water Service Line,2015-02-17,140
Utility-Water Service Line,2015-02-17,125
Utility-Water Service Line,2015-02-18,102
Fire-10-77 (Residential High Rise Fire),2015-02-19,135
Utility-Gas High Pressure,2015-02-19,192
Fire-School,2015-02-20,225
Utility-Gas Service Line,2015-02-20,334
Fire-Explosion,2015-02-20,122
Utility-Water Service Line,2015-02-21,782
Utility-Other,2015-02-22,340
Utility-Power Outage,2015-02-23,370
Fire-Explosion,2015-02-23,214
Fire-10-77 (Residential High Rise Fire),2015-02-24,299
Utility-Other,2015-02-25,958
Utility-Power Outage,2015-02-25,338
Fire-3rd Alarm,2015-02-27,109
Utility-Other,2015-02-28,369
Fire-Manhole,2015-03-02,136
Utility-Other,2015-03-03,225
Fire-Manhole,2015-03-04,3105
Utility-Water Service Line,2015-03-04,286
Utility-Power Outage,2015-03-04,845
Fire-Sensitive Location,2015-03-04,87
Fire-10-76 (Commercial High Rise Fire),2015-03-05,87
Utility-Manhole,2015-03-05,240
Utility-Power Outage,2015-03-05,298
Utility-Power Outage,2015-03-05,3053
Fire-Other,2015-03-05,276
Fire-1st Alarm,2015-03-05,4039
Utility-Manhole,2015-03-05,2145
Utility-Manhole,2015-03-08,2627
Utility-Power Outage,2015-03-08,453
Utility-Gas Main Rupture,2015-03-09,78
Utility-Other,2015-03-09,5572
Utility-Other,2015-03-10,1302
Fire-Other,2015-03-10,330
Fire-3rd Alarm,2015-03-10,206
Fire-3rd Alarm,2015-03-11,275
Fire-Manhole,2015-03-11,2392
Fire-Other,2015-03-13,150
Utility-Power Outage,2015-03-14,148
Fire-1st Alarm,2015-03-16,65
Utility-Other,2015-03-16,123
Utility-Water Service Line,2015-03-17,5673
Fire-4th Alarm,2015-03-18,2311
Fire-10-77 (Residential High Rise Fire),2015-03-19,907
Utility-Gas Service Line,2015-03-23,112
Utility-Water Service Line,2015-03-24,131
Utility-Water Service Line,2015-03-25,2132
Fire-3rd Alarm,2015-03-27,1234
Fire-1st Alarm,2015-03-28,173
Utility-Gas High Pressure,2015-03-28,2250
Utility-Other,2015-03-28,105
Fire-1st Alarm,2015-03-30,208
Fire-3rd Alarm,2015-04-02,214
Utility-Water Service Line,2015-04-02,1344
Fire-Other,2015-04-05,184
Fire-3rd Alarm,2015-04-07,995
Fire-3rd Alarm,2015-04-08,2627
Utility-Gas Service Line,2015-04-08,65
Utility-Other,2015-04-08,977
Utility-Other,2015-04-09,609
Fire-10-76 (Commercial High Rise Fire),2015-04-11,140
Utility-Water Service Line,2015-04-13,834
Fire-Haz Mat,2015-04-15,79
Utility-Power Outage,2015-04-16,62
Utility-Power Outage,2015-04-17,463
Utility-Power Outage,2015-04-20,262
Utility-Power Outage,2015-04-21,210
Fire-Other,2015-04-21,98
Fire-Haz Mat,2015-04-21,178
Utility-Water Service Line,2015-04-23,240
Utility-Gas Main Rupture,2015-04-24,106
Utility-Gas Service Line,2015-05-05,1222
Fire-Explosion,2015-05-08,82
Utility-Manhole,2015-05-09,5841
Fire-3rd Alarm,2015-05-11,463
Utility-Gas Service Line,2015-05-11,157
Utility-Gas Service Line,2015-05-11,86
Fire-School,2015-05-12,63
Fire-1st Alarm,2015-05-13,88
Fire-3rd Alarm,2015-05-16,521
Fire-Explosion,2015-05-16,150
Fire-Other,2015-05-18,228
Utility-Power Outage,2015-05-19,217
Fire-Haz Mat,2015-05-21,95
Fire-Haz Mat,2015-05-21,70
Fire-1st Alarm,2015-05-22,610
Utility-Gas Main Rupture,2015-05-22,124
Utility-Gas Service Line,2015-05-25,102
Fire-3rd Alarm,2015-05-25,136
Utility-Water Service Line,2015-05-27,427
Fire-3rd Alarm,2015-05-29,226
Utility-Water Service Line,2015-05-29,2117
Utility-Gas Main Rupture,2015-06-01,194
Utility-Other,2015-06-02,124
Fire-10-76 (Commercial High Rise Fire),2015-06-03,76
Utility-Gas Main Rupture,2015-06-03,884
Fire-10-76 (Commercial High Rise Fire),2015-06-03,96
Fire-3rd Alarm,2015-06-08,329
Utility-Water Service Line,2015-06-10,1016
Fire-10-76 (Commercial High Rise Fire),2015-06-10,83
Fire-1st Alarm,2015-06-11,85
Utility-Power Outage,2015-06-12,171
Utility-Manhole,2015-06-12,1598
Fire-1st Alarm,2015-06-12,92
Fire-Manhole,2015-06-12,269
Utility-Power Outage,2015-06-13,254
Utility-Water Service Line,2015-06-14,819
Fire-10-77 (Residential High Rise Fire),2015-06-15,287
Fire-Manhole,2015-06-15,582
Fire-3rd Alarm,2015-06-16,5444
Utility-Other,2015-06-16,2268
Fire-1st Alarm,2015-06-17,86
Utility-Gas Main Rupture,2015-06-18,86
Fire-Other,2015-06-18,108
Fire-1st Alarm,2015-06-19,3776
Fire-10-77 (Residential High Rise Fire),2015-06-19,166
Utility-Power Outage,2015-06-23,207
Fire-1st Alarm,2015-06-23,155
Utility-Gas Service Line,2015-06-24,99
Fire-Manhole,2015-06-25,170
Utility-Other,2015-06-25,257
Fire-10-77 (Residential High Rise Fire),2015-06-26,372
Utility-Power Outage,2015-06-27,125
Utility-Manhole,2015-06-28,127
Utility-Power Outage,2015-07-01,187
Utility-Manhole,2015-07-06,94
Utility-Other,2015-07-07,963
Utility-Other,2015-07-07,292
Fire-Manhole,2015-07-07,150
Fire-Collapse,2015-07-09,1329
Fire-3rd Alarm,2015-07-12,304
Utility-Other,2015-07-13,1524
Utility-Manhole,2015-07-13,598
Fire-Manhole,2015-07-13,240
Fire-Collapse,2015-07-16,656
Utility-Power Outage,2015-07-19,389
Utility-Power Outage,2015-07-19,867
Utility-Other,2015-07-19,142
Fire-Manhole,2015-07-20,2137
Fire-10-77 (Residential High Rise Fire),2015-07-20,67
Utility-Power Outage,2015-07-20,1725
Utility-Power Outage,2015-07-20,637
Utility-Power Outage,2015-07-20,778
Fire-3rd Alarm,2015-07-22,643
Utility-Gas Service Line,2015-07-27,60
Utility-Other,2015-07-29,61
Utility-Manhole,2015-07-30,535
Utility-Power Outage,2015-07-30,448
Fire-Manhole,2015-07-30,563
Utility-Power Outage,2015-07-30,1111
Utility-Water Service Line,2015-07-31,863
Utility-Power Outage,2015-07-31,179
Fire-Collapse,2015-07-31,77
Utility-Gas Service Line,2015-07-31,341
Utility-Power Outage,2015-08-03,5204
Utility-Power Outage,2015-08-06,187
Fire-3rd Alarm,2015-08-09,191
Utility-Other,2015-08-10,5788
Fire-1st Alarm,2015-08-14,412
Fire-1st Alarm,2015-08-14,131
Utility-Manhole,2015-08-14,158
Fire-10-76 (Commercial High Rise Fire),2015-08-17,65
Fire-3rd Alarm,2015-08-20,410
Fire-10-77 (Residential High Rise Fire),2015-08-23,461
Utility-Water Service Line,2015-08-24,117
Fire-4th Alarm,2015-08-25,5570
Fire-1st Alarm,2015-08-27,285
Fire-1st Alarm,2015-08-28,221
Fire-Manhole,2015-08-31,2233
Fire-3rd Alarm,2015-09-01,439
Fire-4th Alarm,2015-09-03,329
Fire-Haz Mat,2015-09-03,82
Utility-Power Outage,2015-09-03,728
Fire-Haz Mat,2015-09-04,148
Utility-Gas Service Line,2015-09-04,85
Utility-Water Service Line,2015-09-05,594
Fire-Manhole,2015-09-05,889
Utility-Power Outage,2015-09-05,91
Utility-Water Service Line,2015-09-06,125
Fire-1st Alarm,2015-09-09,445
Utility-Manhole,2015-09-12,101
Fire-Manhole,2015-09-13,1569
Utility-Power Outage,2015-09-16,98
Fire-Haz Mat,2015-09-16,73
Utility-Power Outage,2015-09-18,962
Utility-Gas High Pressure,2015-09-21,316
Fire-1st Alarm,2015-09-23,62
Utility-Manhole,2015-09-23,1614
Fire-10-77 (Residential High Rise Fire),2015-09-23,69
Fire-1st Alarm,2015-09-24,91
Utility-Manhole,2015-09-28,73
Fire-Manhole,2015-09-29,870
Fire-4th Alarm,2015-09-30,2429
Utility-Manhole,2015-09-30,1519
Utility-Power Outage,2015-09-30,871
Utility-Power Outage,2015-10-03,5257
Fire-School,2015-10-07,99
Fire-3rd Alarm,2015-10-08,225
Fire-Other,2015-10-13,105
Utility-Water Service Line,2015-10-13,92
Fire-Haz Mat,2015-10-13,785
Fire-Other,2015-10-14,703
Fire-1st Alarm,2015-10-14,71
Fire-Other,2015-10-17,93
Fire-Haz Mat,2015-10-21,62
Fire-1st Alarm,2015-10-21,83
Fire-10-77 (Residential High Rise Fire),2015-10-22,1319
Fire-3rd Alarm,2015-10-25,320
Fire-Collapse,2015-10-29,162
Fire-Manhole,2015-11-01,1066
Utility-Gas High Pressure,2015-11-02,1732
Fire-Manhole,2015-11-05,708
Fire-Haz Mat,2015-11-06,67
Fire-10-76 (Commercial High Rise Fire),2015-11-07,65
Fire-3rd Alarm,2015-11-08,388
Fire-Manhole,2015-11-09,687
Utility-Other,2015-11-16,1109
Fire-Haz Mat,2015-11-16,63
Utility-Water Service Line,2015-11-17,975
Utility-Other,2015-11-19,266
Fire-3rd Alarm,2015-11-25,161
Utility-Water Service Line,2015-11-25,1165
Fire-10-77 (Residential High Rise Fire),2015-11-26,120
Utility-Other,2015-11-27,178
Fire-Other,2015-12-01,408
Fire-Haz Mat,2015-12-02,135
Fire-10-77 (Residential High Rise Fire),2015-12-02,99
Fire-Manhole,2015-12-04,1064
Fire-Manhole,2015-12-05,182
Fire-3rd Alarm,2015-12-06,3085
Fire-10-77 (Residential High Rise Fire),2015-12-06,71
Fire-Haz Mat,2015-12-09,1768
Fire-3rd Alarm,2015-12-12,118
Fire-Other,2015-12-14,292
Utility-Other,2015-12-14,199
Fire-Sensitive Location,2015-12-15,130
Utility-Water Service Line,2015-12-16,297
Utility-Power Outage,2015-12-17,489
Utility-Other,2015-12-18,503
Fire-Other,2015-12-19,204
Fire-Haz Mat,2015-12-21,171
Utility-Power Outage,2015-12-22,99
Fire-1st Alarm,2015-12-22,303
Utility-Power Outage,2015-12-24,87
Fire-1st Alarm,2015-12-26,114
Fire-Manhole,2015-12-29,769
Fire-1st Alarm,2016-01-01,417
Utility-Power Outage,2016-01-05,218
Fire-1st Alarm,2016-01-06,112
Utility-Other,2016-01-07,178
Utility-Power Outage,2016-01-10,99
Fire-3rd Alarm,2016-01-12,770
Utility-Water Service Line,2016-01-17,1239
Fire-Haz Mat,2016-01-18,665
Utility-Other,2016-01-18,311
Fire-10-77 (Residential High Rise Fire),2016-01-18,203
Fire-3rd Alarm,2016-01-21,153
Fire-3rd Alarm,2016-01-23,5082
Utility-Power Outage,2016-01-23,501
Utility-Water Service Line,2016-01-23,376
Utility-Manhole,2016-01-23,276
Fire-10-76 (Commercial High Rise Fire),2016-01-23,128
Fire-4th Alarm,2016-01-24,383
Fire-Collapse,2016-01-24,92
Utility-Power Outage,2016-01-25,888
Utility-Power Outage,2016-01-25,61
Utility-Gas Service Line,2016-01-25,142
Utility-Manhole,2016-01-25,568
Utility-Other,2016-01-26,1875
Utility-Manhole,2016-01-26,650
Utility-Gas Service Line,2016-01-27,787
Utility-Manhole,2016-01-27,199
Utility-Power Outage,2016-01-28,119
Utility-Power Outage,2016-01-28,199
Fire-1st Alarm,2016-01-29,68
Utility-Other,2016-01-29,257
Utility-Gas Service Line,2016-01-29,151
Fire-Manhole,2016-01-30,704
Utility-Power Outage,2016-01-31,413
Utility-Power Outage,2016-01-31,123
Utility-Other,2016-02-01,829
Fire-1st Alarm,2016-02-01,66
Fire-3rd Alarm,2016-02-01,334
Fire-3rd Alarm,2016-02-02,376
Fire-1st Alarm,2016-02-02,68
Utility-Manhole,2016-02-03,188
Utility-Power Outage,2016-02-05,707
Utility-Water Service Line,2016-02-09,495
Utility-Gas High Pressure,2016-02-10,212
Fire-Other,2016-02-13,60
Utility-Gas High Pressure,2016-02-14,176
Fire-4th Alarm,2016-02-14,5069
Fire-3rd Alarm,2016-02-15,214
Utility-Other,2016-02-15,60
Utility-Power Outage,2016-02-15,91
Utility-Power Outage,2016-02-15,70
Utility-Water Service Line,2016-02-15,102
Utility-Other,2016-02-16,576
Utility-Other,2016-02-16,117
Utility-Other,2016-02-16,226
Utility-Other,2016-02-16,132
Utility-Power Outage,2016-02-16,233
Utility-Water Service Line,2016-02-17,106
Fire-Sensitive Location,2016-02-19,131
Utility-Manhole,2016-02-24,211
Utility-Gas Service Line,2016-02-25,111
Fire-Other,2016-02-26,176
Fire-1st Alarm,2016-02-29,175
Fire-Haz Mat,2016-02-29,1220
Fire-Haz Mat,2016-03-02,157
Utility-Gas Main Rupture,2016-03-02,95
Utility-Power Outage,2016-03-04,476
Fire-10-76 (Commercial High Rise Fire),2016-03-04,197
Utility-Manhole,2016-03-04,134
Fire-3rd Alarm,2016-03-06,4865
Fire-10-76 (Commercial High Rise Fire),2016-03-06,98
Utility-Gas High Pressure,2016-03-08,127
Utility-Gas Service Line,2016-03-08,233
Utility-Water Service Line,2016-03-10,2664
Fire-10-77 (Residential High Rise Fire),2016-03-11,66
Fire-3rd Alarm,2016-03-13,163
Fire-3rd Alarm,2016-03-13,150
Utility-Water Service Line,2016-03-13,376
